"Chuong","Zh","OutPara","ZhPara","Ratio","SpacePct","CJK","BadBytes","Dup","Status"
"900","905","53","53","1.4","20.98","0","0","0","OK"
"901","906","74","74","1.43","21.53","0","0","0","OK"
"902","907","62","62","1.43","21.65","0","0","0","OK"
"903","908","76","76","1.34","21.04","0","0","0","OK"
"904","909","53","53","1.42","21.05","0","0","0","OK"
"905","910","56","56","1.43","20.97","0","0","0","OK"
"906","911","58","58","1.4","21","0","0","0","OK"
"907","912","61","61","1.44","20.93","0","0","0","OK"
"908","913","61","61","1.49","21.4","0","0","0","OK"
"909","914","60","60","1.55","21.33","0","0","0","OK"
"910","915","65","65","1.5","20.91","0","0","0","OK"
"911","916","54","54","1.46","21.56","0","0","0","OK"
"912","917","60","60","1.47","21.04","0","0","0","OK"
"913","918","53","53","1.54","21.18","0","0","0","OK"
"914","919","61","61","1.51","20.74","0","0","0","OK"
